2018-05-02 09:00:17,178  INFO: MAIN_ENGINE	接口不存在：
2018-05-02 09:00:23,665  INFO: MAIN_ENGINE	MongoDB连接成功
2018-05-02 09:00:23,696  INFO: CTP	行情服务器连接成功
2018-05-02 09:00:23,698  INFO: CTP	交易服务器连接成功
2018-05-02 09:00:23,815  INFO: CTP	行情服务器登录完成
2018-05-02 09:00:23,816  INFO: CTP	交易服务器登录完成
2018-05-02 09:00:23,882  INFO: CTP	结算信息确认完成
2018-05-02 09:00:24,980  INFO: CTP	交易合约信息获取完成
2018-05-02 14:22:50,073  INFO: MAIN_ENGINE	MongoDB连接成功
2018-05-02 14:22:50,142  INFO: CTP	行情服务器连接成功
2018-05-02 14:22:50,144  INFO: CTP	交易服务器连接成功
2018-05-02 14:22:50,210  INFO: CTP	行情服务器登录完成
2018-05-02 14:22:53,219  INFO: CTP	交易服务器登录完成
2018-05-02 14:28:30,874  INFO: MAIN_ENGINE	MongoDB连接成功
2018-05-02 14:28:30,940  INFO: CTP	行情服务器连接成功
2018-05-02 14:28:30,943  INFO: CTP	交易服务器连接成功
2018-05-02 14:28:31,009  INFO: CTP	交易服务器登录完成
2018-05-02 14:28:31,012  INFO: CTP	行情服务器登录完成
2018-05-02 14:28:31,131  INFO: CTP	结算信息确认完成
2018-05-02 14:28:32,956  INFO: CTP	交易合约信息获取完成
2018-05-02 14:35:44,799  INFO: CTA_STRATEGY	CTA引擎启动成功
2018-05-02 14:35:47,944  INFO: CTA_STRATEGY	策略加载成功
2018-05-02 14:58:37,533  INFO: CTP	交易服务器连接断开
2018-05-02 14:58:40,822  INFO: CTP	行情服务器连接断开
2018-05-02 21:19:04,956  INFO: MAIN_ENGINE	MongoDB连接成功
2018-05-02 21:19:04,969  INFO: CTP	行情服务器连接成功
2018-05-02 21:19:05,348  INFO: CTP	行情服务器登录完成
2018-05-02 21:19:07,980  INFO: CTP	交易服务器连接成功
2018-05-02 21:19:08,019  INFO: CTP	交易服务器登录完成
2018-05-02 21:19:08,089  INFO: CTP	结算信息确认完成
2018-05-02 21:19:08,282  INFO: CTP	交易合约信息获取完成
