2018-05-15 09:18:10,301  INFO: MAIN_ENGINE	MongoDB连接成功
2018-05-15 09:18:10,430  INFO: CTP	交易服务器连接成功
2018-05-15 09:18:10,503  INFO: CTP	交易服务器登录完成
2018-05-15 09:18:10,670  INFO: CTP	结算信息确认完成
2018-05-15 09:18:11,269  INFO: CTP	交易合约信息获取完成
2018-05-15 09:27:06,243  INFO: CTP	交易服务器连接断开
2018-05-15 09:27:26,624  INFO: CTP	交易服务器连接成功
2018-05-15 09:27:26,625  INFO: CTP	交易服务器登录完成
2018-05-15 09:27:26,742  INFO: CTP	结算信息确认完成
2018-05-15 09:29:03,680  INFO: CTP	交易服务器连接断开
2018-05-15 09:29:53,729  INFO: CTP	交易服务器连接成功
2018-05-15 09:29:53,736  INFO: CTP	交易服务器登录完成
2018-05-15 09:29:54,164  INFO: CTP	结算信息确认完成
2018-05-15 09:30:06,102  INFO: CTP	交易合约信息获取完成
